Date,Time,SO2,NO, NO2,CO,OZONE,PM10,PM2.5,AQI
02/01/2020,01:00,0,0,-0.1,0.2,2.5,38.4,21.2,70.9062
02/01/2020,02:00,0,0,0.6,0.15,2.9,40.6,20.8,70.0312
02/01/2020,03:00,0,-0.1,0,0.3,2.3,44.9,24.6,78.3438
02/01/2020,04:00,0,-0.1,0,0.6,2.2,64.1,26.4,82.2812
02/01/2020,05:00,0,-0.1,0.2,1,2,97.1,48.6,134.784
02/01/2020,06:00,0.1,0,0.6,1.2,1.5,108,78.1,162.781
02/01/2020,07:00,0,0,0.2,0.3,2,25,67.8,157.412
02/01/2020,08:00,0,0,0,0.2,2.2,24,24.6,78.3438
02/01/2020,09:00,0,0,0,0.2,2.3,23.7,14.9,57.125
02/01/2020,10:00,0,0,0,0.2,2.4,25.4,7.5,33.7838
02/01/2020,11:00,0,0.1,0.1,0.2,2.4,23.3,6.5,29.2793
02/01/2020,12:00,0,0.2,0.2,0.2,2.2,23.7,9,40.5405
02/01/2020,13:00,0,0.2,0.2,0.2,2.2,22.3,5.2,23.4234
02/01/2020,14:00,0,0,0,0.2,2.4,21.6,6.8,30.6306
02/01/2020,15:00,0,0,0,0.2,2.4,22.7,4.4,21.0185
02/01/2020,16:00,0,0.1,0,0.3,2.4,27.3,9.5,42.7928
02/01/2020,17:00,0,0,0.1,0.3,2.5,39.7,14.2,55.5938
02/01/2020,18:00,0,0,0.1,0.3,2.2,32.5,15.9,59.3125
02/01/2020,19:00,0,0,0,0.2,2.2,25.2,11,49.5495
02/01/2020,20:00,0,0,0,0.2,2.3,28.5,12.3,51.4375
02/01/2020,21:00,0,0,0,0.3,2.4,29.6,19.7,67.625
02/01/2020,22:00,0,-0.1,0,0.3,2.4,31,17.7,63.25
02/01/2020,23:00,0,-0.1,0,0.3,2.5,29.8,14.9,57.125
02/01/2020,24:00,0,0,0,0.3,2.4,30.8,16.9,61.5
03/01/2020,01:00,0.1,0,0.3,0.3,2.2,35.6,20.1,68.5
03/01/2020,02:00,0.15,0.2,0.55,0.3,3.55,37.9,15.1,57.5625
03/01/2020,03:00,0,0,0.2,0.3,2.3,41.1,20.3,68.9375
03/01/2020,04:00,0,0,0.2,0.3,2.3,36.5,18.8,65.6562
03/01/2020,05:00,0,0,0.1,0.3,2.5,41.4,19.1,66.3125
03/01/2020,06:00,0,0,0.6,0.3,1.9,41.4,30.9,92.125
03/01/2020,07:00,0.1,0.2,1.2,0.3,1.3,42.4,24.8,78.7812
03/01/2020,08:00,0,0.1,0.5,0.3,2,53.7,17.7,63.25
03/01/2020,09:00,0,0.1,0.3,0.3,2.4,53.1,16.4,60.4062
03/01/2020,10:00,0,0.1,0.2,0.3,3.4,38,10.3,46.3964
03/01/2020,11:00,0,0.5,0.9,0.3,3.1,43.5,14.2,55.5938
03/01/2020,12:00,0,0.7,1.4,0.3,3.2,47,16.7,61.0625
03/01/2020,13:00,0.1,0.7,1.3,0.3,3.1,40.1,16.9,61.5
03/01/2020,14:00,0.1,1.1,1.3,0.3,2.3,31.5,23.1,75.0625
03/01/2020,15:00,0,0.4,0.5,0.3,2.4,17.9,14.7,56.6875
03/01/2020,16:00,0,0.1,0.2,0.3,2.8,19.5,11.4,51.3514
03/01/2020,17:00,0,0.1,0.2,0.2,2.5,13.1,9.5,42.7928
03/01/2020,18:00,0,0.1,0.1,0.2,2.3,26.6,6.3,28.3784
03/01/2020,19:00,0,0,0,0.2,2.4,16.9,4.7,21.1712
03/01/2020,20:00,0,0,0,0.2,2.2,20.1,8.8,39.6396
03/01/2020,21:00,0,0,0.1,0.2,2.1,22.4,7.6,34.2342
